Year,Season,Area,Production,Crop_yield,crop_type,district,year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,NDVI,EVI,NDWI
2019,Rabi,260669,1125829,4.32,Safflower,Sehore,2019.0,28.998,19.479083333333328,11.49075,2.67,16.59175,0.5309539773010891,-1.4771762273184832,0.1614243569646488
2020,Rabi,275705,1205107,4.37,Safflower,Seoni,2020.0,24.458677685950413,16.987024793388425,11.019752066115704,68.10999999999999,15.002809917355377,0.4412384836847434,-0.2356072639094058,0.0229325472244656
2021,Rabi,259843,1099656,4.23,Safflower,Seoni,2021.0,27.389833333333343,18.903083333333324,12.275666666666668,20.66,16.111583333333336,0.3709002936564123,-0.2645723219631837,0.0221828188099899
2022,Rabi,269794,1114789,4.13,Safflower,Seoni,2022.0,26.13625,17.711250000000003,11.050333333333334,66.16000000000003,15.397583333333342,0.2797658405092769,0.7010538435689126,0.0263359394638302
2018,Rabi,46403,112460,2.42,Safflower,Seoni,2018.0,29.167966101694912,20.002033898305083,12.62779661016949,28.88,17.571355932203385,0.3968568337533881,-0.0728739092298195,0.0079603836176784
2019,Rabi,64772,160829,2.48,Safflower,Seoni,2019.0,28.29658333333334,18.77083333333333,11.417416666666664,25.56000000000001,16.24358333333333,0.4660195422921119,2.2691297406391224,0.0565764203557042
2020,Rabi,74224,139467,1.88,Safflower,Shahdol,2020.0,23.898429752066104,16.41371900826446,10.673966942148764,98.93,14.488595041322313,0.4041129697313412,0.1335093876850155,-0.0022375660149996
2021,Rabi,69279,144724,2.09,Safflower,Shahdol,2021.0,27.354666666666667,18.96108333333334,12.529749999999998,37.88999999999999,15.328749999999998,0.3417935272240734,0.2944001257610845,-0.0036379730112956
2022,Rabi,74491,155612,2.09,Safflower,Shahdol,2022.0,25.597000000000005,17.13225,10.651833333333338,85.59,14.89516666666667,0.2665061271214649,0.3939121344560271,0.0107349255891607
2018,Rabi,119407,336653,2.82,Safflower,Shahdol,2018.0,29.005932203389825,19.832881355932205,12.671355932203388,19.809999999999995,17.144576271186438,0.3535126851208706,0.0757621227989268,-0.033257058321424
2019,Rabi,203701,1097745,5.39,Safflower,Shahdol,2019.0,27.436416666666656,18.39158333333334,11.57516666666667,49.39999999999999,15.588250000000006,0.4537972344683451,-0.0278106159342443,0.0430078005937745
2020,Rabi,96446,527367,5.47,Safflower,Sheopur,2020.0,25.02776859504132,17.283801652892564,10.947438016528922,28.209999999999997,14.053388429752069,0.3467924743983439,4.833311091310385,-0.0566353395687309
2021,Rabi,87814,440475,5.02,Safflower,Sheopur,2021.0,27.710916666666677,19.002666666666663,11.7345,67.67999999999999,14.933500000000002,0.3853369736252237,0.8886530468840924,0.0185311384351954
2022,Rabi,96311,421361,4.38,Safflower,Sheopur,2022.0,25.32375,17.225250000000003,10.556583333333329,48.42,14.51091666666667,0.28609827338909,-0.3347692005420729,-0.0023403155673677
2018,Rabi,287013,889371,3.1,Safflower,Sheopur,2018.0,28.784067796610167,19.53,11.47847457627119,1.0,16.565084745762707,0.4067782099027417,0.2829984240433069,-0.0095494922321658
2019,Rabi,311478,850958,2.73,Safflower,Sheopur,2019.0,26.276416666666684,17.35225000000001,10.200333333333337,15.19,15.301166666666669,0.4133468267669931,0.4444524565804623,-0.0369507303645546
2020,Rabi,205836,592190,2.88,Safflower,Tikamgarh,2020.0,23.48363636363637,16.488264462809923,10.897603305785134,42.32,12.663884297520667,0.427934395812587,-0.0797910711586475,0.0370129406355001
2021,Rabi,192366,577098,3.0,Safflower,Tikamgarh,2021.0,27.828666666666678,19.275250000000007,12.143666666666665,53.20999999999999,13.831333333333337,0.3688978804020826,0.2933838588386443,0.0491689186489864
2022,Rabi,209544,628632,3.0,Safflower,Tikamgarh,2022.0,24.699250000000003,16.634999999999994,10.279000000000002,64.90000000000002,13.500166666666663,0.3078586314372935,0.4454371813668039,0.0484151015661512
2018,Rabi,220044,583277,2.65,Safflower,Tikamgarh,2018.0,29.0471186440678,19.99830508474576,12.315423728813562,5.3,15.557457627118644,0.461061307275914,1.6121289992042565,0.10684679882556
2019,Rabi,408353,1765718,4.32,Safflower,Tikamgarh,2019.0,26.301750000000013,17.42633333333334,10.493499999999996,12.29,14.229666666666672,0.4734989603941472,-1.153971021563564,0.0788845085175111
2020,Rabi,409404,1393202,3.4,Safflower,Ujjain,2020.0,25.56280991735538,17.68165289256198,11.424876033057853,16.06,15.140330578512398,0.5326203152860173,0.2500291458823956,0.1921210864484485
2021,Rabi,412568,1480706,3.59,Safflower,Ujjain,2021.0,29.06458333333334,20.01783333333333,12.84975,16.75,15.69433333333334,0.4505999946978892,0.878695069362775,0.1754653026225881
2022,Rabi,452752,1624927,3.59,Safflower,Ujjain,2022.0,26.06016666666667,17.914000000000012,11.207916666666664,40.58,15.306750000000006,0.3685503833562378,0.2504081713410171,0.1653257331892626
2018,Rabi,56053,125534,2.24,Safflower,Ujjain,2018.0,30.15661016949153,20.84118644067797,13.206271186440675,0.53,17.495932203389835,0.5487557931586514,-2.0433884106316804,0.2356473082163609
2019,Rabi,75311,148212,1.97,Safflower,Ujjain,2019.0,28.648833333333343,19.076,11.18925,2.46,16.401500000000006,0.5352238950265852,0.1581279477138725,0.2122764691419048
2020,Rabi,74548,138957,1.86,Safflower,Umaria,2020.0,24.082975206611565,16.482479338842978,10.5902479338843,78.9,14.65487603305785,0.4655708333941178,0.729295148159267,0.0393764986534859
2021,Rabi,70583,146319,2.07,Safflower,Umaria,2021.0,27.52825000000001,18.92558333333333,12.216666666666663,29.4,15.401166666666663,0.3744466435466609,-0.4615711127737367,0.0339647980654795
2022,Rabi,77562,168542,2.17,Safflower,Umaria,2022.0,26.05049999999999,17.273916666666672,10.554166666666664,74.63000000000001,15.003833333333334,0.3000607982703862,0.2343143891565161,0.0398724527985074
2018,Rabi,280644,732061,2.61,Safflower,Umaria,2018.0,29.12457627118644,19.831186440677968,12.472203389830504,21.92,17.262203389830503,0.4246654622623551,0.3496836601140182,0.0182389815970102
2019,Rabi,383599,1120493,2.92,Safflower,Umaria,2019.0,27.47091666666667,18.20258333333333,11.203749999999996,36.20000000000001,15.744583333333331,0.5177677067897106,-2.1303946208896063,0.0848034319490761
2020,Rabi,355461,1089843,3.07,Safflower,Vidisha,2020.0,24.519173553719003,16.931983471074375,10.84165289256198,31.28,15.021900826446284,0.4994036143614412,0.4563078475776049,0.1315495222548563
2021,Rabi,374697,1277716,3.41,Safflower,Vidisha,2021.0,28.43349999999999,19.4155,12.15900000000001,69.35000000000002,15.711416666666668,0.4385249637927685,-0.8053478326023998,0.1306445559736084
2022,Rabi,326580,1113638,3.41,Safflower,Vidisha,2022.0,25.76450000000001,17.387583333333335,10.539666666666664,50.73,15.413583333333335,0.3302661262506052,0.3454731477815494,0.101736393911634
2020,Rabi,18607,29325,1.58,Wheat,Anuppur,2020.0,23.102809917355376,15.743966942148766,9.936942148760323,121.92,14.488595041322313,0.3946831712041824,0.1691766883538269,-0.0415470268971671
