district,rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
Mandsaur,2023,28.34541666666667,18.969166666666673,11.647666666666662,7.3100000000000005,16.44841666666666
Mandsaur,2024,27.977704918032785,19.965081967213116,13.67934426229508,32.78,12.797213114754099
Damoh,2018,29.508813559322046,20.107118644067803,12.171355932203392,14.39,17.461016949152544
Damoh,2019,27.565666666666655,18.042500000000008,10.677916666666665,9.85,16.005833333333324
Damoh,2020,24.037933884297505,16.474297520661157,10.554876033057846,53.65000000000002,14.817190082644625
Damoh,2021,28.02075,19.08266666666667,11.767666666666662,34.150000000000006,15.65933333333333
Damoh,2022,25.647166666666674,16.952083333333334,10.089583333333337,71.84,15.261583333333334
Damoh,2023,25.982416666666662,17.55908333333334,10.953916666666668,12.259999999999998,16.552750000000003
Damoh,2024,26.643770491803284,18.71295081967213,12.819836065573773,25.32,13.206065573770488
Shahdol,2018,29.005932203389825,19.832881355932205,12.671355932203387,19.809999999999995,17.144576271186438
Shahdol,2019,27.436416666666656,18.39158333333334,11.57516666666667,49.39999999999999,15.588250000000006
Shahdol,2020,23.898429752066104,16.41371900826446,10.673966942148764,98.92999999999999,14.488595041322311
Shahdol,2021,27.354666666666667,18.96108333333334,12.529749999999998,37.88999999999999,15.328749999999998
Shahdol,2022,25.597000000000005,17.13225,10.651833333333338,85.59,14.89516666666667
Shahdol,2023,26.246833333333328,17.924166666666665,11.626499999999998,1.68,16.304250000000003
Shahdol,2024,25.380983606557383,18.56491803278688,13.232295081967214,44.75000000000001,13.115081967213115
Betul,2018,30.930677966101698,21.771186440677965,14.109491525423728,10.27,17.747457627118646
Betul,2019,29.92850000000001,20.589583333333337,12.928333333333333,9.969999999999999,16.976833333333328
Betul,2020,26.983966942148758,19.26528925619834,13.075619834710746,53.29999999999999,15.424049586776858
Betul,2021,30.133833333333328,21.20341666666667,14.124500000000003,15.860000000000001,16.35491666666667
Betul,2022,27.537999999999997,19.42466666666667,12.84441666666666,45.769999999999996,15.717166666666667
Betul,2023,29.676500000000008,20.417833333333338,13.104833333333337,15.229999999999999,17.284583333333334
Betul,2024,27.975245901639344,20.164098360655743,14.262459016393441,69.13,14.408688524590165
Jhabua,2018,32.08728813559323,22.94542372881356,15.09728813559322,0.0,17.33491525423729
Jhabua,2019,30.728666666666673,21.309083333333334,13.57816666666667,0.47,16.661916666666663
Jhabua,2020,28.008099173553724,20.12917355371901,13.750247933884298,7.619999999999999,15.440165289256194
Jhabua,2021,30.669500000000006,21.820500000000006,14.716749999999992,12.809999999999999,15.852583333333339
Jhabua,2022,28.122166666666672,19.967916666666678,13.390749999999999,32.010000000000005,15.567083333333331
Jhabua,2023,30.130916666666675,21.03883333333333,13.540083333333333,14.049999999999999,16.90408333333333
Jhabua,2024,29.251639344262287,21.32524590163934,15.37196721311476,46.42,13.67508196721311
Datia,2018,28.901016949152538,19.395254237288132,11.336610169491523,2.9899999999999998,15.557457627118644
Datia,2019,25.478083333333323,16.927749999999996,10.056833333333334,22.66,14.229666666666672
Datia,2020,24.14090909090908,16.73975206611571,10.684876033057852,49.61,12.663884297520669
Datia,2021,27.918666666666663,19.226999999999993,11.920833333333336,33.82,13.831333333333335
Datia,2022,24.28716666666667,16.395333333333344,9.925916666666671,60.79999999999999,13.500166666666663
Datia,2023,26.09200000000002,17.78108333333333,10.768999999999995,9.309999999999999,14.743166666666673
Datia,2024,26.606721311475415,19.571803278688524,13.602622950819674,23.75,11.034262295081964
Sidhi,2018,28.649491525423727,19.439491525423726,12.104237288135597,15.969999999999999,16.512203389830507
Sidhi,2019,27.112750000000002,18.34425,11.684416666666667,38.93,14.835333333333335
Sidhi,2020,23.369586776859514,16.055371900826447,10.433553719008266,91.84000000000003,13.678842975206612
Sidhi,2021,26.765833333333326,18.572416666666662,12.029833333333329,35.96000000000001,14.453083333333328
Sidhi,2022,25.67966666666666,17.10475,10.650916666666662,63.06999999999999,14.169583333333334
Sidhi,2023,26.209249999999987,17.79425000000001,11.405916666666666,0.6900000000000001,15.411833333333334
Sidhi,2024,26.155245901639343,18.95508196721312,13.338032786885249,38.75,12.518360655737702
Ujjain,2018,30.15661016949153,20.841186440677966,13.206271186440675,0.53,17.495932203389835
Ujjain,2019,28.648833333333346,19.076,11.18925,2.46,16.401500000000006
Ujjain,2020,25.56280991735538,17.68165289256198,11.424876033057853,16.06,15.140330578512398
Ujjain,2021,29.06458333333334,20.01783333333333,12.84975,16.75,15.69433333333334
Ujjain,2022,26.06016666666667,17.914000000000012,11.207916666666664,40.58,15.306750000000006
Ujjain,2023,28.40683333333333,19.095916666666668,11.852499999999996,4.27,16.746416666666676
